date,family,label,value,method,n_firms,yyyymm,year
2025-11-07,Financial Services,Financial Services,0.08661425329669141,ICC calculation,624.0,202511,2025
2025-11-07,Healthcare,Healthcare,0.08250453365891995,ICC calculation,310.0,202511,2025
2025-11-07,Industrials,Industrials,0.06699419189259417,ICC calculation,433.0,202511,2025
2025-11-07,Real Estate,Real Estate,0.07033583129247728,ICC calculation,183.0,202511,2025
2025-11-07,Technology,Technology,0.06873373899714284,ICC calculation,486.0,202511,2025
2025-11-07,Utilities,Utilities,0.08035511768102527,ICC calculation,91.0,202511,2025
2025-11-10,Basic Materials,Basic Materials,0.09449582743607746,ICC calculation,159.0,202511,2025
2025-11-10,Communication Services,Communication Services,0.060851972302763964,ICC calculation,159.0,202511,2025
2025-11-10,Consumer Cyclical,Consumer Cyclical,0.07977621116043568,ICC calculation,391.0,202511,2025
2025-11-10,Consumer Defensive,Consumer Defensive,0.06767280081910271,ICC calculation,156.0,202511,2025
2025-11-10,Energy,Energy,0.09648280522455556,ICC calculation,186.0,202511,2025
2025-11-10,Financial Services,Financial Services,0.08617593761579023,ICC calculation,625.0,202511,2025
2025-11-10,Healthcare,Healthcare,0.0815694603840132,ICC calculation,312.0,202511,2025
2025-11-10,Industrials,Industrials,0.06659716484070792,ICC calculation,434.0,202511,2025
2025-11-10,Real Estate,Real Estate,0.06812705802658814,ICC calculation,181.0,202511,2025
2025-11-10,Technology,Technology,0.0678587281770308,ICC calculation,486.0,202511,2025
2025-11-10,Utilities,Utilities,0.08299145745608047,ICC calculation,91.0,202511,2025
2025-11-11,Basic Materials,Basic Materials,0.09466040147732002,ICC calculation,159.0,202511,2025
2025-11-11,Communication Services,Communication Services,0.06077288424771227,ICC calculation,159.0,202511,2025
2025-11-11,Consumer Cyclical,Consumer Cyclical,0.08362949746609798,ICC calculation,391.0,202511,2025
2025-11-11,Consumer Defensive,Consumer Defensive,0.06694555546469257,ICC calculation,157.0,202511,2025
2025-11-11,Energy,Energy,0.09599495529872777,ICC calculation,186.0,202511,2025
2025-11-11,Financial Services,Financial Services,0.0857469956044617,ICC calculation,625.0,202511,2025
2025-11-11,Healthcare,Healthcare,0.0801328921399274,ICC calculation,310.0,202511,2025
2025-11-11,Industrials,Industrials,0.06659362053643764,ICC calculation,434.0,202511,2025
2025-11-11,Real Estate,Real Estate,0.06665956195633525,ICC calculation,181.0,202511,2025
2025-11-11,Technology,Technology,0.06814564631582806,ICC calculation,487.0,202511,2025
2025-11-11,Utilities,Utilities,0.07914452603577402,ICC calculation,89.0,202511,2025
2025-11-12,Basic Materials,Basic Materials,0.09390468407991108,ICC calculation,159.0,202511,2025
2025-11-12,Communication Services,Communication Services,0.06136471439555252,ICC calculation,159.0,202511,2025
2025-11-12,Consumer Cyclical,Consumer Cyclical,0.08040119247933036,ICC calculation,391.0,202511,2025
2025-11-12,Consumer Defensive,Consumer Defensive,0.06701128490009503,ICC calculation,157.0,202511,2025
2025-11-12,Energy,Energy,0.09788156726163043,ICC calculation,186.0,202511,2025
2025-11-12,Financial Services,Financial Services,0.08677483956972394,ICC calculation,625.0,202511,2025
2025-11-12,Healthcare,Healthcare,0.07955574088398634,ICC calculation,311.0,202511,2025
2025-11-12,Industrials,Industrials,0.06673771629635739,ICC calculation,434.0,202511,2025
2025-11-12,Real Estate,Real Estate,0.06737888373228346,ICC calculation,180.0,202511,2025
2025-11-12,Technology,Technology,0.06816201198848981,ICC calculation,486.0,202511,2025
2025-11-12,Utilities,Utilities,0.08170182633712487,ICC calculation,90.0,202511,2025
2025-11-13,Basic Materials,Basic Materials,0.09450981415785452,ICC calculation,158.0,202511,2025
2025-11-13,Communication Services,Communication Services,0.06257204466751791,ICC calculation,158.0,202511,2025
2025-11-13,Consumer Cyclical,Consumer Cyclical,0.08194905792640851,ICC calculation,391.0,202511,2025
2025-11-13,Consumer Defensive,Consumer Defensive,0.06709202213089575,ICC calculation,157.0,202511,2025
2025-11-13,Energy,Energy,0.0983370048466068,ICC calculation,185.0,202511,2025
2025-11-13,Financial Services,Financial Services,0.08736195834217605,ICC calculation,625.0,202511,2025
2025-11-13,Healthcare,Healthcare,0.0796840064624349,ICC calculation,312.0,202511,2025
2025-11-13,Industrials,Industrials,0.06755593990285122,ICC calculation,434.0,202511,2025
2025-11-13,Real Estate,Real Estate,0.06773803255671537,ICC calculation,180.0,202511,2025
2025-11-13,Technology,Technology,0.06933069419384301,ICC calculation,485.0,202511,2025
2025-11-13,Utilities,Utilities,0.08223715023879039,ICC calculation,90.0,202511,2025
2025-11-14,Basic Materials,Basic Materials,0.09546918155538495,ICC calculation,158.0,202511,2025
2025-11-14,Communication Services,Communication Services,0.06285015684550305,ICC calculation,158.0,202511,2025
2025-11-14,Consumer Cyclical,Consumer Cyclical,0.08227445829917132,ICC calculation,391.0,202511,2025
2025-11-14,Consumer Defensive,Consumer Defensive,0.0672276802123915,ICC calculation,156.0,202511,2025
2025-11-14,Energy,Energy,0.0971453748658413,ICC calculation,186.0,202511,2025
2025-11-14,Financial Services,Financial Services,0.08743007046393636,ICC calculation,625.0,202511,2025
2025-11-14,Healthcare,Healthcare,0.08013126434222535,ICC calculation,312.0,202511,2025
2025-11-14,Industrials,Industrials,0.06756352773733176,ICC calculation,435.0,202511,2025
2025-11-14,Real Estate,Real Estate,0.06803055849250894,ICC calculation,180.0,202511,2025
2025-11-14,Technology,Technology,0.06971114809698047,ICC calculation,485.0,202511,2025
2025-11-14,Utilities,Utilities,0.08250861435560843,ICC calculation,90.0,202511,2025
2025-11-17,Basic Materials,Basic Materials,0.09659896437013189,ICC calculation,159.0,202511,2025
2025-11-17,Communication Services,Communication Services,0.06211916895420724,ICC calculation,159.0,202511,2025
2025-11-17,Consumer Cyclical,Consumer Cyclical,0.08206300620679818,ICC calculation,392.0,202511,2025
2025-11-17,Consumer Defensive,Consumer Defensive,0.06764888077520115,ICC calculation,156.0,202511,2025
2025-11-17,Energy,Energy,0.09819093749092413,ICC calculation,186.0,202511,2025
2025-11-17,Financial Services,Financial Services,0.08880277583924932,ICC calculation,630.0,202511,2025
2025-11-17,Healthcare,Healthcare,0.08035971822714577,ICC calculation,312.0,202511,2025
2025-11-17,Industrials,Industrials,0.06809809812016913,ICC calculation,434.0,202511,2025
2025-11-17,Real Estate,Real Estate,0.06732807721951033,ICC calculation,180.0,202511,2025
2025-11-17,Technology,Technology,0.07068604362594641,ICC calculation,486.0,202511,2025
2025-11-17,Utilities,Utilities,0.07917928558780425,ICC calculation,90.0,202511,2025
2025-11-18,Basic Materials,Basic Materials,0.09657377264191135,ICC calculation,159.0,202511,2025
2025-11-18,Communication Services,Communication Services,0.062152344373461385,ICC calculation,160.0,202511,2025
2025-11-18,Consumer Cyclical,Consumer Cyclical,0.08322880243563176,ICC calculation,391.0,202511,2025
2025-11-18,Consumer Defensive,Consumer Defensive,0.06772509108068961,ICC calculation,157.0,202511,2025
2025-11-18,Energy,Energy,0.09660100249620125,ICC calculation,186.0,202511,2025
2025-11-18,Financial Services,Financial Services,0.08892106893879567,ICC calculation,630.0,202511,2025
2025-11-18,Healthcare,Healthcare,0.07997985677449165,ICC calculation,310.0,202511,2025
2025-11-18,Industrials,Industrials,0.06830713269253234,ICC calculation,434.0,202511,2025
2025-11-18,Real Estate,Real Estate,0.06611284283152112,ICC calculation,180.0,202511,2025
2025-11-18,Technology,Technology,0.07140077496780611,ICC calculation,487.0,202511,2025
2025-11-18,Utilities,Utilities,0.07994789291574618,ICC calculation,90.0,202511,2025
2025-11-19,Basic Materials,Basic Materials,0.09552790339296494,ICC calculation,159.0,202511,2025
2025-11-19,Communication Services,Communication Services,0.06132676804156823,ICC calculation,160.0,202511,2025
2025-11-19,Consumer Cyclical,Consumer Cyclical,0.08233190976120006,ICC calculation,391.0,202511,2025
2025-11-19,Consumer Defensive,Consumer Defensive,0.06799760891731442,ICC calculation,157.0,202511,2025
2025-11-19,Energy,Energy,0.09771552799078337,ICC calculation,186.0,202511,2025
2025-11-19,Financial Services,Financial Services,0.08875591138266804,ICC calculation,632.0,202511,2025
2025-11-19,Healthcare,Healthcare,0.08008354857379378,ICC calculation,312.0,202511,2025
2025-11-19,Industrials,Industrials,0.06812369625080908,ICC calculation,434.0,202511,2025
2025-11-19,Real Estate,Real Estate,0.06670441364003096,ICC calculation,180.0,202511,2025
2025-11-19,Technology,Technology,0.07106833596238177,ICC calculation,487.0,202511,2025
2025-11-19,Utilities,Utilities,0.08088262463254856,ICC calculation,90.0,202511,2025
2025-11-20,Basic Materials,Basic Materials,0.09688730266819769,ICC calculation,160.0,202511,2025
2025-11-20,Communication Services,Communication Services,0.06168305483371808,ICC calculation,159.0,202511,2025
2025-11-20,Consumer Cyclical,Consumer Cyclical,0.08299591508739934,ICC calculation,390.0,202511,2025
2025-11-20,Consumer Defensive,Consumer Defensive,0.06723281349407347,ICC calculation,157.0,202511,2025
2025-11-20,Energy,Energy,0.09826191086368269,ICC calculation,186.0,202511,2025
2025-11-20,Financial Services,Financial Services,0.08927144795705302,ICC calculation,632.0,202511,2025
2025-11-20,Healthcare,Healthcare,0.08046940389455824,ICC calculation,312.0,202511,2025
2025-11-20,Industrials,Industrials,0.06879546502666338,ICC calculation,433.0,202511,2025
2025-11-20,Real Estate,Real Estate,0.06566208731187466,ICC calculation,180.0,202511,2025
2025-11-20,Technology,Technology,0.0754994804361142,ICC calculation,487.0,202511,2025
2025-11-20,Utilities,Utilities,0.0821373834191286,ICC calculation,91.0,202511,2025
2025-11-25,Basic Materials,Basic Materials,0.09628428804561687,ICC calculation,159.0,202511,2025
2025-11-25,Communication Services,Communication Services,0.059140958961422206,ICC calculation,160.0,202511,2025
2025-11-25,Consumer Cyclical,Consumer Cyclical,0.08136953352450349,ICC calculation,390.0,202511,2025
2025-11-25,Consumer Defensive,Consumer Defensive,0.06746755031866308,ICC calculation,158.0,202511,2025
2025-11-25,Energy,Energy,0.09817438961994342,ICC calculation,185.0,202511,2025
2025-11-25,Financial Services,Financial Services,0.08836509298719025,ICC calculation,629.0,202511,2025
2025-11-25,Healthcare,Healthcare,0.0790686387146853,ICC calculation,313.0,202511,2025
2025-11-25,Industrials,Industrials,0.06819747324878203,ICC calculation,433.0,202511,2025
2025-11-25,Real Estate,Real Estate,0.06402747321269084,ICC calculation,180.0,202511,2025
2025-11-25,Technology,Technology,0.07445750237892804,ICC calculation,486.0,202511,2025
2025-11-25,Utilities,Utilities,0.08197280664729298,ICC calculation,91.0,202511,2025
2025-11-26,Basic Materials,Basic Materials,0.09488402944989435,ICC calculation,159.0,202511,2025
2025-11-26,Communication Services,Communication Services,0.05851585743946188,ICC calculation,160.0,202511,2025
2025-11-26,Consumer Cyclical,Consumer Cyclical,0.08144601909589536,ICC calculation,390.0,202511,2025
2025-11-26,Consumer Defensive,Consumer Defensive,0.06618964106083432,ICC calculation,158.0,202511,2025
2025-11-26,Energy,Energy,0.09830132434479516,ICC calculation,185.0,202511,2025
2025-11-26,Financial Services,Financial Services,0.08717470928163056,ICC calculation,629.0,202511,2025
2025-11-26,Healthcare,Healthcare,0.07800015635436013,ICC calculation,314.0,202511,2025
2025-11-26,Industrials,Industrials,0.06823211127639692,ICC calculation,434.0,202511,2025
2025-11-26,Real Estate,Real Estate,0.06418111997896729,ICC calculation,180.0,202511,2025
2025-11-26,Technology,Technology,0.07380624825309433,ICC calculation,487.0,202511,2025
2025-11-26,Utilities,Utilities,0.08112483619187787,ICC calculation,92.0,202511,2025
2025-11-27,Basic Materials,Basic Materials,0.09494891798695264,ICC calculation,159.0,202511,2025
2025-11-27,Communication Services,Communication Services,0.05855676808696982,ICC calculation,160.0,202511,2025
2025-11-27,Consumer Cyclical,Consumer Cyclical,0.08125768692076404,ICC calculation,390.0,202511,2025
2025-11-27,Consumer Defensive,Consumer Defensive,0.06619196334627817,ICC calculation,158.0,202511,2025
2025-11-27,Energy,Energy,0.09815596400964959,ICC calculation,185.0,202511,2025
2025-11-27,Financial Services,Financial Services,0.08719129283765974,ICC calculation,629.0,202511,2025
2025-11-27,Healthcare,Healthcare,0.07800975751295569,ICC calculation,314.0,202511,2025
2025-11-27,Industrials,Industrials,0.06831423494113471,ICC calculation,434.0,202511,2025
2025-11-27,Real Estate,Real Estate,0.0641988939177457,ICC calculation,180.0,202511,2025
2025-11-27,Technology,Technology,0.07374029168232442,ICC calculation,486.0,202511,2025
2025-11-27,Utilities,Utilities,0.08111119076318776,ICC calculation,92.0,202511,2025
2025-11-28,Basic Materials,Basic Materials,0.09458724528864364,ICC calculation,159.0,202511,2025
2025-11-28,Communication Services,Communication Services,0.05847491985482143,ICC calculation,160.0,202511,2025
2025-11-28,Consumer Cyclical,Consumer Cyclical,0.08076901044071406,ICC calculation,390.0,202511,2025
2025-11-28,Consumer Defensive,Consumer Defensive,0.06585566040538396,ICC calculation,158.0,202511,2025
2025-11-28,Energy,Energy,0.09738940433567828,ICC calculation,185.0,202511,2025
2025-11-28,Financial Services,Financial Services,0.08681286724060583,ICC calculation,629.0,202511,2025
2025-11-28,Healthcare,Healthcare,0.07826227190362725,ICC calculation,314.0,202511,2025
2025-11-28,Industrials,Industrials,0.0681235266611869,ICC calculation,434.0,202511,2025
2025-11-28,Real Estate,Real Estate,0.06406659000291177,ICC calculation,180.0,202511,2025
2025-11-28,Technology,Technology,0.07337608840342255,ICC calculation,486.0,202511,2025
2025-11-28,Utilities,Utilities,0.08068714200641974,ICC calculation,92.0,202511,2025
